a) Marginal test,,,,,
Term,df,SS,R2,F,p
Treatment,1,0.01,0.01,1.54,0.165
Season,3,0.07,0.18,6.28,0.001
Fjord,2,0.02,0.06,2.97,0.003
Sex,1,0.00,0.01,0.57,0.767
Fulton,1,0.01,0.02,1.70,0.142
Maturity,1,0.01,0.01,1.50,0.163
Age,1,0.01,0.01,1.45,0.166
Residual,64,0.24,0.60,,
Total,74,0.41,1.00,,
b) Conditional test,,,,,
Treatment,1,0.02,0.06,5.80,0.001
Season,3,0.09,0.23,8.03,0.001
Fjord,2,0.02,0.06,3.05,0.003
Sex,1,0.00,0.01,0.67,0.665
Fulton,1,0.01,0.02,2.01,0.064
Maturity,1,0.01,0.02,2.11,0.059
Age,1,0.01,0.01,1.45,0.182
Residual,64,0.24,0.60,,
Total,74,0.41,1.00,,
